airtype,rnum,rNATSGRP,rPR,rSNmax,HCa,HCb,HCc,HCd,COa,COb,COc,COd,NOxa,NOxb,NOxc,NOxd,fuelflowa,fuelflowb,fuelflowc,fuelflowd
195,2,5,25.5,9.4,4.94,0.13,0.1,0.07,46.1,4.84,0.75,0.81,3.55,7.59,14.97,17.78,0.085,0.223,0.653,0.792
208,1,12,35,0.3,0.05,0.02,0,0,13.4,1.5,0,0,6.41,11.47,18.89,24.88,0.071,0.201,0.573,0.699
319,2,5,25.1,14.3,1.53,0.45,0.23,0.23,18.5,2.8,1.1,1.1,4.29,8.94,19.98,24.79,0.098,0.276,0.799,0.972
320,2,5,26.6,15.8,1.4,0.4,0.23,0.23,17.6,2.5,0.9,0.9,4,8,19.6,24.6,0.1011,0.291,0.862,1.051
321,2,5,32.78,5.4,3.5,0.5,0.2,0.1,19.2,1.7,0.9,0.8,4.7,11.2,28.5,37.3,0.115,0.366,1.141,1.43
330,2,1,35.8,2,1.46,0.01,0,0,17.94,0.89,0.16,0.2,4.71,10.3,26.44,34.38,0.28,0.85,2.58,3.2
332,2,1,35.8,2,1.46,0.01,0,0,17.94,0.89,0.16,0.2,4.71,10.3,26.44,34.38,0.28,0.85,2.58,3.2
333,2,1,33.1,4,3.29,0.15,0.04,0.03,23.51,1.75,0.74,0.72,4.15,14.66,33.91,42.39,0.221,0.798,2.327,2.836
350,2,1,48.41317365,9.303700713,0.010060323,0,0,0,7.746338116,0.818811467,0.399433598,0.35599046,5.641126438,14.85868409,48.50516811,66.05032224,0.300838147,0.918076597,2.798047265,3.497826514
380,4,1,42.94,3.38,3.636,0.048,0.024,0.032,34.578,2.16,0.137,0.125,5.511,16.166,36.44,51.068,0.341,1.073,3.566,4.6
735,2,5,22.44,4,2.28,0.08,0.05,0.04,34.4,3.8,0.95,0.9,3.9,8.3,15.5,17.7,0.114,0.29,0.792,0.946
736,2,5,22.61,11.4,3.1,0.1,0.1,0.1,25.9,3.2,0.5,0.6,4.3,9.5,17.4,20.5,0.1,0.274,0.761,0.913
737,2,5,24.41,12,2.5,0.1,0.1,0.1,22.8,2.5,0.6,0.5,4.5,10,19,23.1,0.105,0.298,0.844,1.021
738,2,5,27.61,14.7,1.9,0.1,0.1,0.1,18.8,1.6,0.6,0.2,4.7,10.8,22.5,28.8,0.113,0.338,0.999,1.221
739,2,5,27.61,14.7,1.9,0.1,0.1,0.1,18.8,1.6,0.6,0.2,4.7,10.8,22.5,28.8,0.113,0.338,0.999,1.221
744,4,1,30.13,7.1,9.68,0.2,0.09,0.08,43.71,2.19,0.52,0.52,3.74,8.97,21.34,28.06,0.205,0.632,1.913,2.353
747,4,1,30.13,7.1,9.68,0.2,0.09,0.08,43.71,2.19,0.52,0.52,3.74,8.97,21.34,28.06,0.205,0.632,1.913,2.353
773,2,1,39.8,5,0.39,0.07,0.04,0.04,12.7,0.98,0.15,0.15,5.86,17.47,39.13,53.21,0.3,0.899,2.772,3.414
788,2,1,41,5.23,0.06,0,0,0,8.73,0.77,0.45,0.53,5.4,13.29,35.87,46.67,0.237,0.625,1.877,2.282
789,2,1,41,5.23,0.06,0,0,0,8.73,0.77,0.45,0.53,5.4,13.29,35.87,46.67,0.237,0.625,1.877,2.282
32C,2,5,22.6,5.4,6.5,0.9,0.1,0.1,32.9,3.9,0.8,0.8,3.4,8.4,16.7,19.7,0.094,0.262,0.729,0.875
73A,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
734,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
73C,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
73F,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
73G,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
73H,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
73M,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
73S,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
77W,2,1,39.8,5,0.39,0.07,0.04,0.04,12.7,0.98,0.15,0.15,5.86,17.47,39.13,53.21,0.3,0.899,2.772,3.414
ARJ,4,7,13,10.6,4.72,0.12,0.01,0.01,37.83,4.43,0.3,0.2,3.28,6.39,12.02,14.52,0.0453,0.1083,0.2961,0.3578
B35,2,12,35,0.3,0.05,0.02,0,0,13.4,1.5,0,0,6.41,11.47,18.89,24.88,0.071,0.201,0.573,0.699
CR9,2,7,23.03,5.33,0.08,0.06,0.02,0.02,24.92,2.91,0.5,0.41,4.31,11.1,12.82,14.67,0.069,0.1681,0.4941,0.6042
DHT,2,12,35,0.3,0.05,0.02,0,0,13.4,1.5,0,0,6.41,11.47,18.89,24.88,0.071,0.201,0.573,0.699
E90,2,5,25.5,9.4,4.94,0.13,0.1,0.07,46.1,4.84,0.75,0.81,3.55,7.59,14.97,17.78,0.085,0.223,0.653,0.792
E91,2,5,25.5,9.4,4.94,0.13,0.1,0.07,46.1,4.84,0.75,0.81,3.55,7.59,14.97,17.78,0.085,0.223,0.653,0.792
FH3,2,12,9.76,15,50.5,4.43,0.01,0.01,132,40.5,3.5,2.65,1.75,3.44,6.77,7.6,0.023,0.051,0.124,0.148
M82,2,5,19.05,6.1,0,0,0,0,17.89,3.79,0.49,0.42,4.05,7.65,13.02,16.49,0.137,0.363,1.045,1.282
KD1,1,12,35,0.3,0.05,0.02,0,0,13.4,1.5,0,0,6.41,11.47,18.89,24.88,0.071,0.201,0.573,0.699
MA6,2,8,25.39,6.8,6.8,0.19,0.1,0.09,36.91,2.33,0.62,0.53,3.69,11.13,21.77,25.69,0.193,0.579,1.683,2.027
PL2,1,12,35,0.3,0.05,0.02,0,0,13.4,1.5,0,0,6.41,11.47,18.89,24.88,0.071,0.201,0.573,0.699
EMJ,2,5,23.18,8.63,0.13,0.06,0.02,0.02,18.16,4.23,0.57,0.64,4.61,10.77,12.65,14.77,0.0644,0.18,0.5326,0.6518
