airtype,air
186,320
190,E90
191,EMJ
195,195
208,208
319,319
320,320
321,321
322,320
323,320
325,321
330,330
331,330
332,332
333,333
336,333
337,330
338,333
350,350
351,350
359,350
380,380
730,737
735,735
736,736
737,737
738,738
739,739
744,744
747,747
773,773
787,788
788,788
789,789
31A,320
31C,319
31E,320
31G,319
31L,319
31Z,320
32A,321
32B,321
32C,32C
32D,320
32E,320
32F,320
32G,320
32H,320
32I,320
32J,320
32L,321
32M,321
32N,320
32Q,321
32R,320
32T,320
32U,320
32Z,321
33A,333
33B,333
33C,333
33D,333
33E,332
33G,332
33H,332
33L,333
33W,333
33Z,321
3HH,330
3NE,320
73A,73A
73B,734
73C,73C
73D,737
73E,739
73F,73F
73G,73G
73H,73H
73K,738
73L,738
73M,73M
73N,738
73Q,738
73R,737
73S,73S
73T,738
73U,738
73V,738
74F,747
74H,747
77W,77W
78A,789
78B,789
78C,788
78W,789
7HH,737
ARJ,ARJ
B35,B35
CR9,CR9
DHT,DHT
E90,E90
E91,E91
FH3,FH3
JET,M82
JET100,M82
KD1,KD1
MA6,MA6
PC12,PL2
PL2,PL2
M82,M82